1	Ich	ich	_	PPER	nom|sg|*|1	2	SUBJ	_	_
2	sehe	sehen	_	VVFIN	sg|1|pres|ind	0	S	_	_
3	gut	gut	_	ADJD	pos	2	ADV	_	_
4	aus	aus	_	PTKVZ	_	2	AVZ	_	_

1	Viele	vieler	_	PIAT	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	5	SUBJ	_	_
3	im	in	_	APPRART	dat|sg|masc	2	PP	_	_
4	Rollstuhl	Rollstuhl	_	NN	dat|sg|masc	3	PN	_	_
5	veröffentlichen	veröffentlichen	_	VVFIN	pl|3|pres|ind	0	S	_	_
6	zusammen	zusammen	_	PTKVZ	_	5	AVZ	_	_
7	Fotos	Foto	_	NN	nom|pl|neut	5	OBJA	_	_
8	von	von	_	APPR	_	7	PP	_	_
9	sich	sich	_	PRF	acc|pl|3	8	PN	_	_
10	im	in	_	APPRART	dat|sg|neut	8	PP	_	_
11	Internet	Internet	_	NN	dat|sg|neut	10	PN	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Warum	warum	_	PWAV	_	2	ADV	_	_
2	machen	machen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
4	das	der	_	PDS	acc|sg|neut	2	OBJA	_	_
5	?	--	_	$.	_	0	ROOT	_	_

1	Im	in	_	APPRART	dat|sg|neut	3	PP	_	_
2	Internet	Internet	_	NN	dat|sg|neut	1	PN	_	_
3	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	es	es	_	PPER	nom|sg|neut|3	3	SUBJ	_	_
5	die	der	_	ART	acc|sg|fem	6	DET	_	_
6	Plattform	Plattform	_	NN	acc|sg|fem	3	ETH	_	_
7	"Twitter"	"Twitter"	_	NE	nom|sg|*	6	APP	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	3	SUBJ	_	_
3	veröffentlichen	veröffentlichen	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	hier	hier	_	ADV	_	3	ADV	_	_
5	Nachrichten	Nachricht	_	NN	acc|pl|fem	3	OBJA	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	veröffentlichen	veröffentlichen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	kurze	kurz	_	ADJA	acc|pl|masc|pos	4	ATTR	_	_
4	Texte	Text	_	NN	acc|pl|masc	2	PN	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	Videos	Video	_	NN	nom|pl|masc	4	KON	_	_
7	und	und	_	KON	_	6	KON	_	_
8	auch	auch	_	ADV	_	9	ADV	_	_
9	Fotos	Foto	_	NN	acc|pl|neut	7	CJ	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	veröffentlichen	veröffentlichen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	oft	oft	_	ADV	_	2	ADV	_	_
